day,mass,meal,comment
1, 0, almoço, veg
1, 0, jantar, peixe
2, 25, almoço, carne
2, 40, jantar, carne
3, 150, almoço, carne
3, 25, jantar, carne
4, 0, almoço, veg
4, 0, jantar, peixe
5, 150, almoço, carne
5, 0, jantar, veg
6, 100, almoço, carne
6, 150, jantar, carne
7, 50, almoço, carne
7, 0, jantar, veg
8, 150, almoço, carne
8, 0, jantar, peixe
9, 0, almoço, veg
9, 0, jantar, veg
10, 100, almoço, carne
10, 25, jantar, carne
11, 0, almoço, veg
11, 50, jantar, carne
12, 100, almoço, carne
12, 25, jantar, carne
13, 100, almoço, carne
13, 0, jantar, veg
14, 100, almoço, peixe
14, 150, jantar, carne
15, 90, almoço, carne
15, 25, jantar, snacks
16, 0, almoço, peixe
16, 100, jantar, carne
17, 0, almoço, peixe
17, 0, jantar, snacks
18, 120, almoço, carne
18, 0, jantar, veg
19, 30, almoço, carne
19, 0, jantar, veg
20, 30, almoço, carne
22, 120, jantar, carne
23, 100, almoço, carne
23, 50, lanche, snacks
24, 150, almoço, carne
24, 0, jantar, snacks
25, 0, almoço, veg
25, 0, jantar, veg
26, 0, almoço, veg
26, 0, jantar, peixe
27, 150, almoço, carne
27, 0, jantar, veg
28, 100, almoço, carne
28, 0, jantar, veg
1, 50, almoço, carne
